,degree,clustering_coeff,betweenness_centrality,eigenvector_centrality,community_id
0,347,0.041978311205876966,0.15590407032101966,4.852229845106447e-05,0
1,17,0.41911764705882354,2.2511474403376367e-06,7.377410544456294e-07,0
2,10,0.8888888888888888,6.19425097442515e-08,3.340815678069361e-07,0
3,17,0.6323529411764706,3.816346850354161e-06,8.494558117322692e-07,0
4,10,0.8666666666666667,1.23885019488503e-07,3.3392985612196754e-07,0
5,13,0.3333333333333333,2.8399165896078737e-06,1.331645436938421e-06,0
6,6,0.9333333333333333,0.0,3.2415847008720757e-07,0
7,20,0.43157894736842106,0.00015651288840004893,2.595383511879365e-05,0
8,8,0.6785714285714286,0.0,3.283118297065553e-07,0
9,57,0.39724310776942356,1.721419747366248e-05,2.6430580143277417e-06,0
10,10,0.8222222222222222,0.0,9.242581393252614e-07,0
11,1,0.0,0.0,3.1350684824705347e-07,0
12,1,0.0,0.0,3.1350684824705347e-07,0
13,31,0.6516129032258065,7.152740561805406e-06,4.639772863459335e-06,0
14,15,0.7428571428571429,1.5338145270005133e-07,3.454611521615138e-07,0
15,1,0.0,0.0,3.1350684824705347e-07,0
16,9,0.6666666666666666,2.7726647218855436e-07,4.6167049309201326e-07,0
17,13,0.7307692307692307,1.4158287941543198e-07,3.4102444162738e-07,0
18,1,0.0,0.0,3.1350684824705347e-07,0
19,16,0.2833333333333333,0.00010661636197393375,3.4685303914119417e-07,0
20,15,0.6857142857142857,1.2502554823934953e-06,3.4517929030948963e-07,0
21,65,0.3490384615384615,0.0010959920774388683,2.6688284859341182e-05,0
22,11,0.4727272727272727,4.709775935705772e-07,1.179714488909198e-06,0
23,17,0.16911764705882354,6.937561091356168e-06,3.4865585968426076e-07,0
24,16,0.9,1.468922373935107e-07,3.898195638453574e-07,0
25,69,0.2885763000852515,0.00011016508621435758,2.6486868185604525e-06,0
26,68,0.4113257243195786,2.8917211325926188e-05,3.0121890679896144e-06,0
27,5,0.9,0.0,4.978412659748735e-07,0
28,13,0.7692307692307693,1.5338145270005133e-07,3.4084284127028976e-07,0
29,13,0.46153846153846156,0.0,5.394619153860427e-07,0
30,17,0.5,4.148137937106169e-07,1.1497769118736198e-06,0
31,23,0.43478260869565216,7.347477630366111e-06,1.6725672686116208e-06,0
32,6,1.0,0.0,3.244533059922849e-07,0
33,2,1.0,0.0,3.1556890688114557e-07,0
34,5,0.6,0.0036251400211799877,4.572171090887258e-06,1
35,2,1.0,0.0,3.157141154545992e-07,0
